x , y , yaw, orientation.x, orientation.y, orientation.z, orientation.w, angular_velocity.x, angular_velocity.y, angular_velocity.z, linear_acceleration.x, linear_acceleration.y, linear_acceleration.z
0.0 , 0.0 , 0.021718740491303287 , -0.0010334393009543419 , 0.013566083274781704 , 0.01364921685308218 , 0.1282832771539688 , 0.9915465116500854 , 0.0 , 0.0 , 0.0 , -0.23582886159420013 , 0.30885201692581177 , 10.13166332244873
0.0 , 0.0 , 0.021552324031405966 , -0.0048945932649075985 , 0.013347174972295761 , 0.014341257512569427 , 0.12827014923095703 , 0.9915414452552795 , 0.0 , 0.0 , 0.0 , -0.26575639843940735 , 0.30286651849746704 , 10.113107681274414
0.0 , 0.0 , 0.021722913865038017 , 0.00501730851829052 , 0.01205349899828434 , 0.014028332196176052 , 0.1282578706741333 , 0.9915640950202942 , 0.0 , 0.0 , 0.0 , -0.25019407272338867 , 0.2825157940387726 , 10.13166332244873
0.0 , 0.0 , 0.021899342750737037 , 0.0050408500246703625 , 0.016399161890149117 , 0.014799137599766254 , 0.12830069661140442 , 0.9914849400520325 , 0.0 , 0.0 , 0.0 , -0.27473464608192444 , 0.2932896912097931 , 10.116100311279297
0.0 , 0.0 , 0.021733015688913945 , -0.004752193111926317 , 0.014238685369491577 , 0.014443946070969105 , 0.1282798796892166 , 0.9915262460708618 , 0.0 , 0.0 , 0.0 , -0.2555810213088989 , 0.3148375153541565 , 10.166976928710938
0.0 , 0.0 , 0.021745831226541296 , 0.0003661428054329008 , 0.013540022075176239 , 0.015194760635495186 , 0.12825998663902283 , 0.9915273189544678 , 0.0 , 0.0 , 0.0 , -0.26755204796791077 , 0.3100491166114807 , 10.165780067443848
0.00012652318400796503 , 2.7670864710671594e-06 , 0.021987586992662005 , 0.007325952872633934 , 0.014484127052128315 , 0.011455265805125237 , 0.12844407558441162 , 0.9915404915809631 , 0.0 , 0.0 , 0.007449400145560503 , 0.15023615956306458 , 0.3537432849407196 , 10.249577522277832
0.0011640150332823396 , 2.5376866688020527e-05 , 0.021590978675940863 , -0.011331694200634956 , 0.014484220184385777 , 0.008217507973313332 , 0.1284506916999817 , 0.9915716648101807 , 0.017027199268341064 , -0.009577799588441849 , -0.025540800765156746 , 0.5943605899810791 , 0.3663128614425659 , 10.230423927307129
0.00293535809032619 , 6.325800495687872e-05 , 0.02117359678456404 , -0.011925186030566692 , 0.015474465675652027 , 0.005591986235231161 , 0.12808653712272644 , 0.9916221499443054 , 0.043632201850414276 , 0.005320999771356583 , -0.010641999542713165 , 0.7320271730422974 , 0.5835866332054138 , 10.508151054382324
0.0052381036803126335 , 0.00011252187687205151 , 0.021606951214218267 , 0.0127457519993186 , 0.016004087403416634 , 0.0039851791225373745 , 0.12837818264961243 , 0.9915838241577148 , 0.025540800765156746 , -0.03299019858241081 , 0.031925998628139496 , -0.3363853394985199 , 0.5608417391777039 , 10.210671424865723
0.007945704273879528 , 0.00017154814850073308 , 0.021986573774920706 , 0.010846341960132122 , 0.014270246028900146 , 0.00038660966674797237 , 0.12862205505371094 , 0.9915866255760193 , 0.0 , -0.06065940111875534 , 0.01383460033684969 , 0.15083470940589905 , 0.15023615956306458 , 9.886856079101562
0.010729222558438778 , 0.0002320376952411607 , 0.021469236574501605 , -0.01616682857275009 , 0.013602339662611485 , -0.00130215915851295 , 0.1284846067428589 , 0.9916130900382996 , -0.041503798216581345 , -0.014898800291121006 , -0.01809139922261238 , 0.284311443567276 , 0.3734954595565796 , 10.2561616897583
0.014221291989088058 , 0.000307028298266232 , 0.02147325965622144 , 0.00010587667202344164 , 0.013590777292847633 , -0.001061700051650405 , 0.1283249408006668 , 0.99163419008255 , -0.035118598490953445 , 0.011706200428307056 , 0.0 , 0.014963760040700436 , 0.25498247146606445 , 9.844358444213867
0.017612144351005554 , 0.00037975137820467353 , 0.0214138625129879 , -0.0017469420563429594 , 0.011822308413684368 , 0.0025113015435636044 , 0.1282268762588501 , 0.9916667938232422 , 0.10535579919815063 , -0.028733400627970695 , -0.012770400382578373 , -0.7805097699165344 , 0.3345896899700165 , 9.978433609008789
